Entry	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)
Q08965	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000480]; endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000479]; endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000472]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; rRNA methylation [GO:0031167]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]; mRNA binding [GO:0003729]; U3 snoRNA binding [GO:0034511]	90S preribosome [GO:0030686]; cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
P80235	carnitine metabolic process [GO:0009437]; fatty acid metabolic process [GO:0006631]	carnitine O-acetyltransferase activity [GO:0004092]; carnitine O-palmitoyltransferase activity [GO:0004095]	mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]
Q06549	cytidine catabolic process [GO:0006216]; cytidine deamination [GO:0009972]; deoxycytidine catabolic process [GO:0006217]; pyrimidine-containing compound salvage [GO:0008655]	cytidine deaminase activity [GO:0004126]; deoxycytidine deaminase activity [GO:0047844]; identical protein binding [GO:0042802]; zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
P39525	fatty acid biosynthetic process [GO:0006633]	3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]	mitochondrion [GO:0005739]
D6W196	ADP transport [GO:0015866]; ATP transport [GO:0015867]; mitochondrial transport [GO:0006839]	ATP:ADP antiporter activity [GO:0005471]; ATP transmembrane transporter activity [GO:0005347]; calcium ion binding [GO:0005509]	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]
P22137	cortical actin cytoskeleton organization [GO:0030866]; endocytosis [GO:0006897]; Golgi to endosome transport [GO:0006895]; intracellular protein transport [GO:0006886]; receptor-mediated endocytosis [GO:0006898]	clathrin light chain binding [GO:0032051]; structural molecule activity [GO:0005198]	actin cortical patch [GO:0030479]; clathrin coat of coated pit [GO:0030132]; clathrin coat of trans-Golgi network vesicle [GO:0030130]; clathrin complex [GO:0071439]; clathrin vesicle coat [GO:0030125]; cytosol [GO:0005829]
P25612	cellular aldehyde metabolic process [GO:0006081]	aryl-alcohol dehydrogenase (NADP+) activity [GO:0047681]; D-threo-aldose 1-dehydrogenase activity [GO:0047834]	
P36117	endocytosis [GO:0006897]; positive regulation of ubiquitin-dependent endocytosis [GO:2000397]; protein transport [GO:0015031]; regulation of intracellular transport [GO:0032386]; ubiquitin-dependent endocytosis [GO:0070086]	protein-macromolecule adaptor activity [GO:0030674]; ubiquitin protein ligase binding [GO:0031625]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; early endosome [GO:0005769]; late endosome [GO:0005770]
Q08269	cation transport [GO:0006812]; cellular magnesium ion homeostasis [GO:0010961]; magnesium ion transport [GO:0015693]	inorganic cation transmembrane transporter activity [GO:0022890]; magnesium ion transmembrane transporter activity [GO:0015095]	cell periphery [GO:0071944]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]
P14540	gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]	fructose-bisphosphate aldolase activity [GO:0004332]; melatonin binding [GO:1904408]; zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]
P43549	transmembrane transport [GO:0055085]	glycerol channel activity [GO:0015254]	cell periphery [GO:0071944]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
P15274	AMP metabolic process [GO:0046033]; guanine salvage [GO:0006178]; IMP biosynthetic process [GO:0006188]; IMP salvage [GO:0032264]; purine nucleotide metabolic process [GO:0006163]	AMP deaminase activity [GO:0003876]; metal ion binding [GO:0046872]	cytoplasm [GO:0005737]; cytosol [GO:0005829]
Q03687	phospholipid translocation [GO:0045332]; retrograde transport, endosome to Golgi [GO:0042147]		cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endosome [GO:0005768]; endosome membrane [GO:0010008]; integral component of membrane [GO:0016021]; late endosome membrane [GO:0031902]; trans-Golgi network [GO:0005802]; trans-Golgi network membrane [GO:0032588]
P53895	cellular response to amino acid stimulus [GO:0071230]; transcription factor catabolic process [GO:0036369]; ubiquitin-dependent protein catabolic process [GO:0006511]		Asi complex [GO:0097658]; endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]; nuclear inner membrane [GO:0005637]
Q12675	endocytosis [GO:0006897]; establishment or maintenance of cell polarity [GO:0007163]; phospholipid translocation [GO:0045332]; protein transport [GO:0015031]; response to pheromone triggering conjugation with cellular fusion [GO:0000749]	aminophospholipid flippase activity [GO:0015247]; ATPase-coupled intramembrane lipid transporter activity [GO:0140326]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; phosphatidylserine flippase activity [GO:0140346]	cell periphery [GO:0071944]; cellular bud neck [GO:0005935]; endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]; mating projection tip membrane [GO:0070867]; plasma membrane [GO:0005886]
Q04052	aromatic amino acid family catabolic process [GO:0009074]; branched-chain amino acid catabolic process [GO:0009083]; L-phenylalanine catabolic process [GO:0006559]; positive regulation of transcription by RNA polymerase II [GO:0045944]; tryptophan catabolic process [GO:0006569]; tyrosine catabolic process [GO:0006572]	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]	nucleus [GO:0005634]
P53244	protein transport [GO:0015031]; ubiquitin-dependent endocytosis [GO:0070086]	protein-macromolecule adaptor activity [GO:0030674]; ubiquitin protein ligase binding [GO:0031625]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; plasma membrane [GO:0005886]
P47117	actin cortical patch organization [GO:0044396]; Arp2/3 complex-mediated actin nucleation [GO:0034314]	actin binding [GO:0003779]; ATP binding [GO:0005524]	actin cortical patch [GO:0030479]; Arp2/3 protein complex [GO:0005885]; plasma membrane [GO:0005886]
P35183	protein targeting to membrane [GO:0006612]; protein transport into membrane raft [GO:0032596]	oxidoreductase activity [GO:0016491]	Golgi apparatus [GO:0005794]; late endosome [GO:0005770]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]
P39945	protein targeting to membrane [GO:0006612]	oxidoreductase activity [GO:0016491]	cytoplasm [GO:0005737]
P38731	cellular iron ion homeostasis [GO:0006879]; siderophore transport [GO:0015891]; transmembrane transport [GO:0055085]	siderophore transmembrane transporter activity [GO:0015343]; transmembrane transporter activity [GO:0022857]	cell periphery [GO:0071944]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; endosome [GO:0005768]; endosome membrane [GO:0010008]; fungal-type vacuole [GO:0000324]; integral component of plasma membrane [GO:0005887]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; vacuolar membrane [GO:0005774]
Q12406	ATP-dependent chromatin remodeling [GO:0043044]; chromatin organization [GO:0006325]; histone H4 acetylation [GO:0043967]; nucleosome disassembly [GO:0006337]; nucleosome mobilization [GO:0042766]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription, DNA-templated [GO:0006355]; regulation of transcription by RNA polymerase II [GO:0006357]; transcription elongation from RNA polymerase II promoter [GO:0006368]	chromatin binding [GO:0003682]; structural molecule activity [GO:0005198]	NuA4 histone acetyltransferase complex [GO:0035267]; nucleus [GO:0005634]; RSC-type complex [GO:0016586]; SWI/SNF complex [GO:0016514]
P31386	tRNA wobble uridine modification [GO:0002098]		cytoplasm [GO:0005737]
P33313	protein folding [GO:0006457]; protein refolding [GO:0042026]	Hsp70 protein binding [GO:0030544]; Hsp90 protein binding [GO:0051879]; ribosome binding [GO:0043022]	cytoplasm [GO:0005737]
P30902	ATP synthesis coupled proton transport [GO:0015986]	proton transmembrane transporter activity [GO:0015078]	mitochondrial proton-transporting ATP synthase, stator stalk [GO:0000274]; mitochondrion [GO:0005739]
P50944	amino acid transmembrane export from vacuole [GO:0032974]; amino acid transmembrane transport [GO:0003333]	amino acid transmembrane transporter activity [GO:0015171]; L-glutamine transmembrane transporter activity [GO:0015186]; L-isoleucine transmembrane transporter activity [GO:0015188]; L-tyrosine transmembrane transporter activity [GO:0005302]	fungal-type vacuole [GO:0000324]; fungal-type vacuole membrane [GO:0000329]; integral component of membrane [GO:0016021]; vacuolar membrane [GO:0005774]; vacuole-mitochondrion membrane contact site [GO:1990816]
P40452	mitochondrial cytochrome c oxidase assembly [GO:0033617]		integral component of mitochondrial inner membrane [GO:0031305]; integral component of mitochondrial membrane [GO:0032592]; mitochondrion [GO:0005739]
P38176	amino acid transmembrane transport [GO:0003333]; transmembrane transport [GO:0055085]	amino acid transmembrane transporter activity [GO:0015171]; L-arginine transmembrane transporter activity [GO:0061459]; L-glutamate transmembrane transporter activity [GO:0005313]; L-histidine transmembrane transporter activity [GO:0005290]; L-lysine transmembrane transporter activity [GO:0015189]; L-serine transmembrane transporter activity [GO:0015194]; L-tyrosine transmembrane transporter activity [GO:0005302]; transmembrane transporter activity [GO:0022857]	fungal-type vacuole membrane [GO:0000329]; integral component of membrane [GO:0016021]; membrane [GO:0016020]
Q12500	post-Golgi vesicle-mediated transport [GO:0006892]		cellular bud neck [GO:0005935]; cellular bud tip [GO:0005934]; cytoplasm [GO:0005737]
Q08754	cellular bud site selection [GO:0000282]; fungal-type cell wall chitin biosynthetic process [GO:0034221]; Golgi to plasma membrane transport [GO:0006893]; protein transport [GO:0015031]		exomer complex [GO:0034044]; membrane [GO:0016020]
P38346	TORC2 signaling [GO:0038203]		TORC2 complex [GO:0031932]
Q06071	endosome organization [GO:0007032]; regulation of protein localization [GO:0032880]		BLOC-1 complex [GO:0031083]; endosome [GO:0005768]
P03965	'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; arginine biosynthetic process [GO:0006526]; citrulline biosynthetic process [GO:0019240]; nitrogen compound metabolic process [GO:0006807]; UTP biosynthetic process [GO:0006228]	aspartate carbamoyltransferase activity [GO:0004070]; ATP binding [GO:0005524]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; dihydroorotase activity [GO:0004151]; metal ion binding [GO:0046872]	carbamoyl-phosphate synthase complex [GO:0005951]; cytoplasm [GO:0005737]; cytosol [GO:0005829]
P38910	chaperone cofactor-dependent protein refolding [GO:0051085]; chaperone-mediated protein complex assembly [GO:0051131]; protein folding [GO:0006457]; protein import into mitochondrial intermembrane space [GO:0045041]; protein refolding [GO:0042026]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; chaperone binding [GO:0051087]; metal ion binding [GO:0046872]; unfolded protein binding [GO:0051082]	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
P36064	mitochondrial cytochrome c oxidase assembly [GO:0033617]	copper ion binding [GO:0005507]	extrinsic component of mitochondrial inner membrane [GO:0031314]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]
Q02486	mitochondrial DNA packaging [GO:0090139]; mitochondrial genome maintenance [GO:0000002]; mitochondrion inheritance [GO:0000001]	DNA binding [GO:0003677]; DNA binding, bending [GO:0008301]	mitochondrial chromosome [GO:0000262]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; nucleus [GO:0005634]
P52893	alanine biosynthetic process [GO:0006523]; alanine catabolic process [GO:0006524]; L-alanine catabolic process [GO:0042853]	L-alanine:2-oxoglutarate aminotransferase activity [GO:0004021]; pyridoxal phosphate binding [GO:0030170]	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
P87275			integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]
Q05955	ascospore formation [GO:0030437]; cell division [GO:0051301]	structural molecule activity [GO:0005198]	cytoplasm [GO:0005737]; meiotic spindle pole body [GO:0035974]
P40467	positive regulation of transcription by RNA polymerase II [GO:0045944]; transcription, DNA-templated [GO:0006351]	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]	nucleus [GO:0005634]
P38724	cellular iron ion homeostasis [GO:0006879]; siderophore metabolic process [GO:0009237]; siderophore transport [GO:0015891]; transmembrane transport [GO:0055085]	siderophore transmembrane transporter activity [GO:0015343]; transmembrane transporter activity [GO:0022857]	endosome [GO:0005768]; endosome membrane [GO:0010008]; fungal-type vacuole [GO:0000324]; integral component of plasma membrane [GO:0005887]; vacuolar membrane [GO:0005774]
P32450	amino acid transport [GO:0006865]		
P00830	ATP synthesis coupled proton transport [GO:0015986]; mitochondrial ATP synthesis coupled proton transport [GO:0042776]	ATP binding [GO:0005524]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]	cytosol [GO:0005829]; mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrial proton-transporting ATP synthase, catalytic core [GO:0005754]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrion [GO:0005739]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]
P13090	ammonium transport [GO:0015696]; borate transmembrane transport [GO:0035445]; borate transport [GO:0046713]	ammonium transmembrane transporter activity [GO:0008519]; borate efflux transmembrane transporter activity [GO:0080139]	cell periphery [GO:0071944]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]; vacuole [GO:0005773]
P40471	phosphatidic acid biosynthetic process [GO:0006654]; triglyceride catabolic process [GO:0019433]	1-acyl dihydroxyacetone phosphate reductase activity [GO:0102566]; acylglycerone-phosphate reductase activity [GO:0000140]; triglyceride lipase activity [GO:0004806]	cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; lipid droplet [GO:0005811]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]
P48016	carbohydrate metabolic process [GO:0005975]; carbon utilization [GO:0015976]; trehalose catabolic process [GO:0005993]	alpha,alpha-trehalase activity [GO:0004555]; carbohydrate binding [GO:0030246]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]	cell periphery [GO:0071944]; cell wall-bounded periplasmic space [GO:0030287]; fungal-type cell wall [GO:0009277]; fungal-type vacuole [GO:0000324]; fungal-type vacuole lumen [GO:0000328]; integral component of membrane [GO:0016021]
